"age_settled","group","why_settle_cats","settle_where_why_cat","want_settle","want_settle_why_cat","nomad_relative_need","settled_relative_need","nomad_support","change_support","nomad_respect_settled","nomad_respect_others","nomad_conflicts","settled_conflicts","advnom_cat","advset_cat","go_back","nomad_freedom","settled_freedom"
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"rarely",NA,"often","always","never",NA,"freedom and autonomy","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","more",NA,"often",NA,"never","often","often",NA,"freedom and autonomy; food and traditions","comfort and reduced physical effort; safety and protection from elements",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","children's schooling","same",NA,"rarely",NA,"never","often","often",NA,"atmosphere and environment; freedom and autonomy","comfort and reduced physical effort; safety and protection from elements; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"rarely",NA,"always","always","often",NA,"freedom and autonomy; peace of mind; conditional satisfaction","comfort and reduced physical effort; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","children's schooling","same",NA,"rarely",NA,"always","often","often",NA,"livestock","comfort and reduced physical effort; safety and protection from elements",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","engaged to villager","more",NA,"rarely",NA,"always","always","often",NA,"freedom and autonomy; peace of mind; conditional satisfaction","comfort and reduced physical effort; safety and protection from elements",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","more",NA,"rarely",NA,"always","always","often",NA,"livestock","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","same",NA,"often",NA,"always","often","often",NA,"peace of mind","comfort and reduced physical effort; education",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"rarely",NA,"always","always","never",NA,"freedom and autonomy; conditional satisfaction","comfort and reduced physical effort; safety and protection from elements; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","same",NA,"rarely",NA,"always","always","never",NA,"livestock; peace of mind","comfort and reduced physical effort; safety and protection from elements",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"often",NA,"often","never","never",NA,"atmosphere and environment","comfort and reduced physical effort; safety and protection from elements; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; livestock decreasing due to drought","more",NA,"rarely",NA,"never","never","never",NA,"atmosphere and environment; peace of mind","comfort and reduced physical effort; safety and protection from elements",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"rarely",NA,"always","always","never",NA,"freedom and autonomy","safety and protection from elements",NA,"always",NA
26,"part-time nomad","livestock loss","purchase_house_land","no","attached to nomadic lifestyle and herd","more","more","often","little_easier","always","always","never","never","atmosphere and environment; freedom and autonomy","comfort and reduced physical effort","yes","often","rarely"
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"rarely",NA,"always","never","never",NA,"freedom and autonomy","comfort and reduced physical effort; safety and protection from elements",NA,"rarely",NA
